match_type,player_name,batting_style,main_role,matches,batting_runs,bf,fours,sixes,sr,bat_position,dismissal,opposition,ground,pitch_type,date,weather,bowling_style,overs,mdns,runs_conceded,wicket_taken,econ,bowling_pos
odi,charith_asalanka,left hand batsman,batting alrounder,1,2,8,0,0,25.0,5,caught, Netherlands,Bulawayo,Balanced,2023-06-30,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,0,0,0,0,0.0,0,-, Zimbabwe,Bulawayo,Balanced,2023-07-02,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,0,0,0,0,0.0,0,-, West Indies,Harare,Batting Friendly,2023-07-07,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,36,36,4,0,100.0,5,run out, Netherlands,Harare,Batting Friendly,2023-07-09,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,62,92,5,1,67.39,5,not out, Bangladesh,Pallekele,Balanced,2023-08-31,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,36,43,2,1,83.72,5,caught, Afghanistan,Lahore,Batting Friendly,2023-09-05,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,10,23,1,0,43.47,5,caught, Bangladesh,Colombo (RPS),Spin Friendly,2023-09-09,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,22,35,2,0,62.85,5,caught, India,Colombo (RPS),Spin Friendly,2023-09-12,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,49,47,3,1,104.25,5,not out, Pakistan,Colombo (RPS),Spin Friendly,2023-09-14,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,0,1,0,0,0.0,5,caught, India,Colombo (RPS),Spin Friendly,2023-09-17,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,79,65,8,4,121.53,5,caught, South Africa,Delhi,Balanced,2023-10-07,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,1,3,0,0,33.33,5,caught, Pakistan,Hyderabad,Balanced,2023-10-10,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,25,39,0,1,64.1,5,caught, Australia,Lucknow,Spin Friendly,2023-10-16,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,44,66,2,1,66.66,5,bowled, Netherlands,Lucknow,Spin Friendly,2023-10-21,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,0,0,0,0,0.0,0,-, England,Bengaluru,Batting Friendly,2023-10-26,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,22,28,2,0,78.57,5,caught, Afghanistan,Pune,Balanced,2023-10-30,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,1,24,0,0,4.16,5,caught, India,Wankhede,Batting Friendly,2023-11-02,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,108,105,6,5,102.85,5,caught, Bangladesh,Delhi,Balanced,2023-11-06,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,8,8,1,0,100.0,5,lbw, New Zealand,Bengaluru,Batting Friendly,2023-11-09,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,101,95,5,4,106.31,5,run out, Zimbabwe,Colombo (RPS),Spin Friendly,2024-01-06,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,0,7,0,0,0.0,5,caught, Zimbabwe,Colombo (RPS),Spin Friendly,2024-01-08,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,0,0,0,0,0.0,0,-, Zimbabwe,Colombo (RPS),Spin Friendly,2024-01-11,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,7,8,0,0,87.5,5,not out, Afghanistan,Pallekele,Balanced,2024-02-09,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,97,74,9,2,131.08,5,not out, Afghanistan,Pallekele,Balanced,2024-02-11,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,7,13,0,0,53.84,5,not out, Afghanistan,Pallekele,Balanced,2024-02-14,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,18,37,2,0,48.64,5,bowled, Bangladesh,Chattogram,Spin Friendly,2024-03-13,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,91,93,6,4,97.84,5,caught, Bangladesh,Chattogram,Spin Friendly,2024-03-15,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,37,46,5,0,80.43,5,caught, Bangladesh,Chattogram,Spin Friendly,2024-03-18,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,14,21,2,0,66.66,5,caught, India,Colombo (RPS),Spin Friendly,2024-08-02,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,25,42,3,0,59.52,5,caught, India,Colombo (RPS),Spin Friendly,2024-08-04,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,10,12,0,1,83.33,4,lbw, India,Colombo (RPS),Spin Friendly,2024-08-07,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,77,71,8,3,108.45,5,lbw, West Indies,Pallekele,Balanced,2024-10-20,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,62,61,7,1,101.63,5,not out, West Indies,Pallekele,Balanced,2024-10-23,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,6,3,0,1,200.0,4,caught, West Indies,Pallekele,Balanced,2024-10-26,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,40,28,3,2,142.85,5,caught, New Zealand,Dambulla,Balanced,2024-11-13,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,13,12,2,0,108.33,5,caught, New Zealand,Pallekele,Balanced,2024-11-17,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,0,0,0,0,0.0,0,-, New Zealand,Pallekele,Balanced,2024-11-19,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,0,5,0,0,0.0,5,caught, New Zealand,Wellington,Fast Bowling Friendly,2025-01-05,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,4,3,0,0,133.33,5,run out, New Zealand,Hamilton,Batting Friendly,2025-01-08,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,0,5,0,0,0.0,5,caught, New Zealand,Auckland,Batting Friendly,2025-01-11,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,127,126,14,5,100.79,5,caught, Australia,Colombo (RPS),Spin Friendly,2025-02-12,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,78,66,6,3,118.18,5,not out, Australia,Colombo (RPS),Spin Friendly,2025-02-14,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,106,123,6,4,86.17,5,caught, Bangladesh,Colombo (RPS),Spin Friendly,2025-07-02,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,6,17,1,0,35.29,5,caught, Bangladesh,Colombo (RPS),Spin Friendly,2025-07-05,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,58,68,9,0,85.29,5,caught, Bangladesh,Pallekele,Balanced,2025-07-08,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,6,9,0,0,66.66,5,caught, Zimbabwe,Harare,Batting Friendly,2025-08-29,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,71,61,7,0,116.39,5,caught, Zimbabwe,Harare,Batting Friendly,2025-08-31,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,32,49,2,0,65.3,5,stumped, Pakistan,Rawalpindi,Batting Friendly,2025-11-11,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,6,7,1,0,85.71,5,lbw, Pakistan,Rawalpindi,Batting Friendly,2025-11-14,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,8,16,1,0,50.0,3,run out, West Indies,North Sound,Balanced,2021-03-10,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,10,13,1,0,76.92,3,bowled, West Indies,North Sound,Balanced,2021-03-12,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,24,25,3,0,96.0,3,lbw, West Indies,North Sound,Balanced,2021-03-14,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,8,13,1,0,61.53,3,caught, Bangladesh,Mirpur,Spin Friendly,2021-05-23,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,20,36,2,0,55.55,3,caught, Bangladesh,Mirpur,Spin Friendly,2021-05-25,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,0,4,0,0,0.0,3,caught, Bangladesh,Mirpur,Spin Friendly,2021-05-28,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,5,19,0,0,26.31,1,caught, England,Chester-le-Street,Balanced,2021-06-29,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,5,12,1,0,41.66,1,bowled, England,The Oval,Batting Friendly,2021-07-01,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,6,17,1,0,35.29,3,caught, England,Bristol,Balanced,2021-07-04,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,75,71,10,0,105.63,1,caught, Zimbabwe,Pallekele,Balanced,2022-01-16,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,16,24,3,0,66.66,1,caught, Zimbabwe,Pallekele,Balanced,2022-01-18,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,55,66,6,0,83.33,1,run out, Zimbabwe,Pallekele,Balanced,2022-01-21,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,56,68,6,1,82.35,2,caught, Australia,Pallekele,Balanced,2022-06-14,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,14,17,3,0,82.35,2,caught, Australia,Pallekele,Balanced,2022-06-16,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,137,147,11,2,93.19,2,caught, Australia,Colombo (RPS),Spin Friendly,2022-06-19,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,13,25,2,0,52.0,2,caught, Australia,Colombo (RPS),Spin Friendly,2022-06-21,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,2,4,0,0,50.0,2,caught, Australia,Colombo (RPS),Spin Friendly,2022-06-24,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,85,83,10,0,102.4,1,bowled, Afghanistan,Pallekele,Balanced,2022-11-25,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,3,8,0,0,37.5,1,not out, Afghanistan,Pallekele,Balanced,2022-11-27,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,35,55,3,0,63.63,1,bowled, Afghanistan,Pallekele,Balanced,2022-11-30,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,72,80,11,0,90.0,1,caught, India,Guwahati,Batting Friendly,2023-01-10,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,9,10,2,0,90.0,1,bowled, New Zealand,Auckland,Batting Friendly,2023-03-25,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,57,64,8,1,89.06,1,run out, New Zealand,Hamilton,Batting Friendly,2023-03-31,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,38,59,5,0,64.4,1,caught, Afghanistan,Hambantota,Spin Friendly,2023-06-02,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,43,56,6,0,76.78,1,lbw, Afghanistan,Hambantota,Spin Friendly,2023-06-04,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,51,34,8,2,150.0,1,lbw, Afghanistan,Hambantota,Spin Friendly,2023-06-07,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,57,76,5,0,75.0,1,bowled, U.A.E.,Bulawayo,Balanced,2023-06-19,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,37,39,5,0,94.87,1,not out, Oman,Bulawayo,Balanced,2023-06-23,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,20,26,4,0,76.92,1,caught, Ireland,Bulawayo,Balanced,2023-06-25,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,75,85,10,0,88.23,1,caught, Scotland,Bulawayo,Balanced,2023-06-27,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,0,1,0,0,0.0,1,caught, Netherlands,Bulawayo,Balanced,2023-06-30,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,101,102,14,0,99.01,1,not out, Zimbabwe,Bulawayo,Balanced,2023-07-02,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,104,113,14,0,92.03,1,caught, West Indies,Harare,Batting Friendly,2023-07-07,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,23,33,3,0,69.69,1,caught, Netherlands,Harare,Batting Friendly,2023-07-09,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,14,13,1,0,107.69,1,caught, Bangladesh,Pallekele,Balanced,2023-08-31,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,41,40,6,0,102.5,1,caught, Afghanistan,Lahore,Batting Friendly,2023-09-05,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,40,60,5,0,66.66,1,lbw, Bangladesh,Colombo (RPS),Spin Friendly,2023-09-09,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,6,7,1,0,85.71,1,caught, India,Colombo (RPS),Spin Friendly,2023-09-12,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,29,44,4,0,65.9,1,caught, Pakistan,Colombo (RPS),Spin Friendly,2023-09-14,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,2,4,0,0,50.0,1,caught, India,Colombo (RPS),Spin Friendly,2023-09-17,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,0,3,0,0,0.0,1,bowled, South Africa,Delhi,Balanced,2023-10-07,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,51,61,7,1,83.6,1,caught, Pakistan,Hyderabad,Balanced,2023-10-10,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,61,67,8,0,91.04,1,caught, Australia,Lucknow,Spin Friendly,2023-10-16,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,54,52,9,0,103.84,1,caught, Netherlands,Lucknow,Spin Friendly,2023-10-21,humid,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,77,83,7,2,92.77,1,not out, England,Bengaluru,Batting Friendly,2023-10-26,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,pathum_nissanka,right hand batsman,batsman,1,46,60,5,0,76.66,1,caught, Afghanistan,Pune,Balanced,2023-10-30,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
